Word_Count,Section_Count,Has_Links,Skill_Count,ATS_Score
331,3,1,14,80.8
212,4,1,19,85.3
309,7,1,9,87.1
775,7,1,13,98.7
970,7,0,14,96.6
201,6,1,16,88.4
536,6,0,15,89.0
440,4,1,6,75.4
731,7,1,16,98.7
220,7,0,10,82.6
394,6,1,8,81.0
468,6,0,25,100.0
278,5,1,9,74.2
234,4,1,10,72.8
587,4,1,11,87.1
656,3,1,20,98.3
312,6,0,3,71.5
476,7,0,25,100.0
610,5,0,17,91.0
619,7,0,23,100.0
621,7,1,3,78.8
977,5,1,19,100.0
491,4,1,22,97.1
419,5,0,13,85.5
269,2,1,24,88.4
665,4,1,9,78.1
997,6,0,5,77.8
815,3,0,13,76.2
914,2,0,11,73.5
909,6,0,14,95.5
362,3,0,23,89.8
292,5,1,6,72.6
723,7,1,7,90.2
165,3,1,13,77.9
198,4,1,3,68.1
397,2,0,7,63.2
275,5,1,13,88.0
909,2,1,12,85.4
980,5,1,9,80.9
341,6,0,19,91.9
693,4,0,11,83.5
553,2,1,24,100.0
680,6,0,8,77.8
937,4,0,11,80.6
983,5,0,25,100.0
315,4,1,23,96.8
278,6,1,6,72.9
508,3,1,16,84.4
428,2,0,5,63.8
345,5,0,22,91.3
155,4,0,7,62.1
312,4,0,13,82.6
885,7,0,8,84.1
793,7,1,25,100.0
689,3,0,17,87.5
498,7,1,22,100.0
169,7,0,25,100.0
457,6,1,15,93.8
383,5,1,16,94.6
479,2,1,13,78.1
499,5,0,7,71.6
239,5,1,23,99.0
641,2,1,6,74.0
670,4,0,10,78.3
954,3,0,18,91.1
317,2,0,17,73.5
751,4,1,9,78.6
990,4,0,14,88.4
461,3,0,15,83.6
896,4,0,4,72.6
899,6,0,3,77.8
711,6,1,11,92.3
241,2,0,23,86.0
931,3,1,12,88.3
691,7,0,5,84.3
347,4,1,22,100.0
407,5,1,8,76.6
624,3,1,16,86.4
541,4,0,3,67.5
990,5,1,12,88.5
401,2,1,24,91.5
981,3,1,5,77.0
411,7,0,15,94.6
364,7,0,3,69.2
431,2,1,21,86.7
263,5,1,15,90.7
363,6,0,13,89.2
908,4,1,16,96.4
331,3,1,21,92.3
308,3,1,19,88.6
556,3,0,23,90.6
703,5,1,20,100.0
484,2,1,15,79.9
522,2,1,24,94.1
551,4,1,17,92.5
687,6,1,25,100.0
933,7,1,5,81.5
815,2,1,3,67.5
339,7,0,16,96.6
167,2,1,11,67.5
