Role,Skill,Roadmap_Steps
Legal Advisor,PowerShell,"[""Days 1-15: PowerShell Fundamentals for Legal Advisor"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Business Analyst,Excel,"[""Days 1-15: Excel Fundamentals for Business Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
DevOps Engineer,PowerShell,"[""Days 1-15: PowerShell Fundamentals for DevOps Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Backend Developer,Cybersecurity,"[""Days 1-15: Cybersecurity Fundamentals for Backend Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Game Developer,AWS,"[""Days 1-15: AWS Fundamentals for Game Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Site Reliability Engineer,Django,"[""Days 1-15: Django Fundamentals for Site Reliability Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
SEO Specialist,Excel,"[""Days 1-15: Excel Fundamentals for SEO Specialist"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Business Analyst,Azure,"[""Days 1-15: Azure Fundamentals for Business Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Network Engineer,GitLab,"[""Days 1-15: GitLab Fundamentals for Network Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Accountant,Kanban,"[""Days 1-15: Kanban Fundamentals for Accountant"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Data Analyst,GitHub,"[""Days 1-15: GitHub Fundamentals for Data Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Database Administrator,PostgreSQL,"[""Days 1-15: PostgreSQL Fundamentals for Database Administrator"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Machine Learning Engineer,SQL,"[""Days 1-15: SQL Fundamentals for Machine Learning Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Financial Analyst,Linux,"[""Days 1-15: Linux Fundamentals for Financial Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Sales Executive,Network Security,"[""Days 1-15: Network Security Fundamentals for Sales Executive"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Machine Learning Engineer,Kotlin,"[""Days 1-15: Kotlin Fundamentals for Machine Learning Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Backend Developer,JavaScript,"[""Days 1-15: JavaScript Fundamentals for Backend Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
DevOps Engineer,Go,"[""Days 1-15: Go Fundamentals for DevOps Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
IT Support Specialist,ASP.NET,"[""Days 1-15: ASP.NET Fundamentals for IT Support Specialist"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Mobile App Developer,Solidity,"[""Days 1-15: Solidity Fundamentals for Mobile App Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Data Analyst,Power BI,"[""Days 1-15: Power BI Fundamentals for Data Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Cloud Architect,Smart Contracts,"[""Days 1-15: Smart Contracts Fundamentals for Cloud Architect"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Accountant,Go,"[""Days 1-15: Go Fundamentals for Accountant"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Content Creator,Cryptography,"[""Days 1-15: Cryptography Fundamentals for Content Creator"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Business Analyst,Java,"[""Days 1-15: Java Fundamentals for Business Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Video Editor,Blockchain,"[""Days 1-15: Blockchain Fundamentals for Video Editor"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Cloud Architect,Smart Contracts,"[""Days 1-15: Smart Contracts Fundamentals for Cloud Architect"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Technical Recruiter,Computer Vision,"[""Days 1-15: Computer Vision Fundamentals for Technical Recruiter"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Site Reliability Engineer,Jira,"[""Days 1-15: Jira Fundamentals for Site Reliability Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Site Reliability Engineer,Network Security,"[""Days 1-15: Network Security Fundamentals for Site Reliability Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
