Role,Skills,Category,AverageSalary,Location,DemandLevel
IT Support Specialist,"Cybersecurity,Agile,Machine Learning,Bash",Marketing,₹39 LPA,San Francisco,Medium
Financial Analyst,"Ruby,TensorFlow,Natural Language Processing,Git,Tableau,React,Flask",Data Science,₹33 LPA,Chennai,Low
SEO Specialist,"Cybersecurity,JavaScript,Windows,Jenkins,PostgreSQL,Scrum,Java,Tableau,GitLab,Machine Learning,Agile,Express.js",Data Science,₹18 LPA,Bangalore,Low
Data Scientist,"Node.js,Network Security,MongoDB,Data Visualization,Smart Contracts",Finance,₹23 LPA,New York,High
Network Engineer,"Bash,Blockchain,Scikit,MongoDB,Swift,Vue.js,Ethereum,Figma,Azure,Go,Network Security,ASP.NET",Operations,₹47 LPA,San Francisco,Medium
Blockchain Developer,"Machine Learning,Ethereum,Kotlin,Ruby,Terraform",HR,₹46 LPA,Bangalore,High
System Administrator,"JavaScript,Data Visualization,Scrum,C#,Bitbucket,AWS,MongoDB,Network Security",HR,₹23 LPA,Delhi NCR,Very High
Digital Marketer,"Rust,Figma,AWS,GitHub,Redis",Design,₹20 LPA,Pune,Medium
Cloud Architect,"Ruby,Natural Language Processing,NumPy,Java",HR,₹19 LPA,Chennai,High
Cloud Architect,"Confluence,MongoDB,Agile,Pandas,Redis,Natural Language Processing,Ruby on Rails,Cryptography,C++,GitLab",Marketing,₹23 LPA,Pune,High
Full Stack Developer,"GitHub,Azure,Data Analysis,Ethereum,Terraform,NoSQL,Deep Learning,PHP",HR,₹50 LPA,Delhi NCR,Very High
Technical Recruiter,"Cybersecurity,Solidity,Power BI,Terraform,Bitbucket,Python,Windows",Business,₹28 LPA,Remote,Medium
Technical Recruiter,"Sketch,UX Design,Agile,Scikit,Data Analysis,Figma,AWS,Network Security,Computer Vision",HR,₹37 LPA,Remote,Medium
Game Developer,"MacOS,Scikit,Figma,Deep Learning,Ethereum,Cybersecurity,Swift,HTML,Pandas,C#,Cryptography,Tableau",Marketing,₹21 LPA,Remote,High
SEO Specialist,"MongoDB,Jenkins,GitHub,AWS,Kubernetes",IT/Software,₹51 LPA,Hyderabad,Very High
Cloud Architect,"Computer Vision,HTML,Kanban,Illustrator,PHP,C++,Swift,PyTorch,TensorFlow,Photoshop",Operations,₹10 LPA,Delhi NCR,Low
IT Support Specialist,"UX Design,Angular,Git,Jenkins,Vue.js,Excel,Bitbucket,Scrum,Data Analysis,Flask",Finance,₹21 LPA,San Francisco,Low
QA Engineer,"Kubernetes,Smart Contracts,Spring Boot,Sketch,PyTorch,Rust,UX Design,Network Security,NoSQL,Azure,CSS",HR,₹10 LPA,Hyderabad,Medium
